ID	Cell Type	Cell Subtype
183935	colorectal_tumor	colorectal_tumor (WNT-high)
183937	colorectal_tumor	colorectal_tumor (MSI)
183938	colorectal_tumor	colorectal_tumor (EMT-high)
183941	Fibroblasts	Fibroblasts (myCAF)
183945	colorectal_tumor	colorectal_tumor (KRAS-high)
183950	Fibroblasts	Fibroblasts (LRRC15+)
183954	colorectal_tumor	colorectal_tumor (WNT-high)
183955	colorectal_tumor	colorectal_tumor (EMT-high)
183967	colorectal_tumor	colorectal_tumor (EMT-high)
183969	colorectal_tumor	colorectal_tumor (WNT-high)
183971	RTM_LA	RTM_LA (FOLR2-high)
183973	Mac_LA	Mac_LA (SPP1-high)
183979	colorectal_tumor	colorectal_tumor (MSI)
183983	B_cells	B_cells (plasma)
183987	TCD4_reg	TCD4_reg (FOXP3-high)
183990	colorectal_tumor	colorectal_tumor (MSI)
184002	colorectal_tumor	colorectal_tumor (EMT-high)
184003	colorectal_tumor	colorectal_tumor (MYC-high)
184013	colorectal_tumor	colorectal_tumor (KRAS-high)
184016	colorectal_tumor	colorectal_tumor (KRAS-high)
184019	colorectal_tumor	colorectal_tumor (MSI)
184021	colorectal_tumor	colorectal_tumor (WNT-high)
184024	Fibroblasts	Fibroblasts (iCAF)
184030	RTM_LA	RTM_LA (C1Q-high)
184038	TCD4_reg	TCD4_reg (TIGIT-high)
184045	colorectal_tumor	colorectal_tumor (KRAS-high)
184048	RTM_LA	RTM_LA (C1Q-high)
184057	colorectal_tumor	colorectal_tumor (EMT-high)
184067	colorectal_tumor	colorectal_tumor (MSI)
184074	Mac_LA	Mac_LA (SPP1-high)
184077	colorectal_tumor	colorectal_tumor (MSI)
184084	colorectal_tumor	colorectal_tumor (KRAS-high)
184086	RTM_LA	RTM_LA (FOLR2-high)
184090	colorectal_tumor	colorectal_tumor (MYC-high)
184096	colorectal_tumor	colorectal_tumor (MYC-high)
184101	Fibroblasts	Fibroblasts (LRRC15+)
184102	Endothelial	Endothelial (arterial)
184104	colorectal_tumor	colorectal_tumor (MSI)
